disaster_key,event_type,subgroup,group,category,magnitude,people_affected
47,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,300000
48,Tsunami,Geological,Natural,Disaster,0,0
49,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,150000
50,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,570000
51,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,46500
52,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,3000
53,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,200000
54,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,60000
55,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,6000
56,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,299793
57,Tornado,Meteorological - Hydrological,Natural,Disaster,0,45000
58,Tornado,Meteorological - Hydrological,Natural,Disaster,0,15000
59,Residential,Explosion,Technology,Incident,0,0
60,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,15000
61,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,75000
62,Pandemic,Biological,Natural,Disaster,0,0
63,Volcano,Geological,Natural,Disaster,0,0
64,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,300000
65,Tornado,Meteorological - Hydrological,Natural,Disaster,0,207000
66,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,10000
67,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0,70000
68,Earthquake,Geological,Natural,Disaster,5,900
69,Tornado,Meteorological - Hydrological,Natural,Disaster,0,12000
70,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,12000
71,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,40000
72,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,24000
73,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,190000
74,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,50000
75,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0,120000
76,Flood,Meteorological - Hydrological,Natural,Disaster,0,240000
77,Tornado,Meteorological - Hydrological,Natural,Disaster,0,13500
78,Earthquake,Geological,Natural,Disaster,7,0
79,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,249000
80,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,2000
81,Tsunami,Geological,Natural,Disaster,7,0
82,Rioting,Civil Incident,Conflict,Incident,0,0
83,Residential,Arson,Conflict,Incident,0,0
84,Earthquake,Geological,Natural,Disaster,8,0
85,Vehicle,Fire,Technology,Incident,0,0
86,Tsunami,Geological,Natural,Disaster,9,0
87,Flood,Meteorological - Hydrological,Natural,Disaster,0,236364
88,Flood,Meteorological - Hydrological,Natural,Disaster,0,584656
89,Tsunami,Geological,Natural,Disaster,8,0
90,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,1027473
91,Kidnapping / Murder,Terrorist,Conflict,Incident,0,0
92,Space Debris,Space Event,Technology,Incident,0,0
93,Flood,Meteorological - Hydrological,Natural,Disaster,0,119127
94,Flood,Meteorological - Hydrological,Natural,Disaster,0,115994
95,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,7615063
96,Shootings,Terrorist,Conflict,Incident,0,0
97,Tornado,Meteorological - Hydrological,Natural,Disaster,0,3684211
98,Wildfire,Meteorological - Hydrological,Natural,Disaster,0,
99,Heat Event,Meteorological - Hydrological,Natural,Disaster,0,
100,Flood,Meteorological - Hydrological,Natural,Disaster,0,
101,Disturbance / Demonstrations,Civil Incident,Conflict,Incident,0,
102,Wildfire,Meteorological - Hydrological,Natural,Disaster,,
103,Rioting,Civil Incident,Conflict,Incident,,
104,Flood,Meteorological - Hydrological,Natural,Disaster,,
105,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,,600000
106,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,189000
107,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,127283
108,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,,40000
109,Wildfire,Meteorological - Hydrological,Natural,Disaster,,1896
110,Flood,Meteorological - Hydrological,Natural,Disaster,0,700
111,Air,Transportation accident,Technology,Incident,,
112,Tornado,Meteorological - Hydrological,Natural,Disaster,,8000
113,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,,1169000
114,Tornado,Meteorological - Hydrological,Natural,Disaster,2,
115,Geomagnetic Storm,Meteorological - Hydrological,Natural,Disaster,,6925128
116,Earthquake,Geological,Natural,Disaster,9,
117,Flood,Meteorological - Hydrological,Natural,Disaster,,1500
118,Epidemic,Biological,Natural,Disaster,,
119,Flood,Meteorological - Hydrological,Natural,Disaster,,300000
120,Rail,Transportation accident,Technology,Incident,,
121,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,
122,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,
123,Manufacturing / Industry,Infrastructure failure,Technology,Incident,,300
124,Shootings,Terrorist,Conflict,Incident,,
125,Residential,Fire,Technology,Incident,,
126,Kidnapping / Murder,Terrorist,Conflict,Incident,,
127,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,153000
128,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,
129,,,,"Response and recovery activities began at the time of the event. The ice storm significantly impacted some of Canada’s largest and most densely populated urban municipalities. Municipalities, provincial ministries and non-governmental organizations such as the Red Cross all acted to respond to the ice storm. Ontario determined that the impacts of the storm were severe enough to warrant implementation of an Ice Storm Assistance Program to help municipalities and conservation authorities with emergency response and recovery costs. Two deaths were attributed to the storm due to carbon monoxide poisoning from improperly ventilated generators and heaters.  ",,
130,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,,939000
131,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,317000
132,500,0,0,"Note: A request for federal assistance through the DFAA program has been made; however, no payments have yet been issued.",,
133,Tornado,Meteorological - Hydrological,Natural,Disaster,,150000
134,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,300000
135,Earthquake,Geological,Natural,Disaster,7.8,860000
136,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,12000
137,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,25000
138,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,5000
139,Wildfire,Meteorological - Hydrological,Natural,Disaster,,300
140,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,1500000
141,Leak / Spill Release,Hazardous Chemicals,Technology,Incident,,
142,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,9000
143,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,105000
144,Flood,Meteorological - Hydrological,Natural,Disaster,,20000
145,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,69000
146,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,10038
147,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,750000
148,Winter Storm,Meteorological - Hydrological,Natural,Disaster,,300000
149,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,117000
150,Landslide,Geological,Natural,Disaster,,
151,Flood,Meteorological - Hydrological,Natural,Disaster,,390600
152,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,,33000
153,Tornado,Meteorological - Hydrological,Natural,Disaster,,54000
154,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,225000
155,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,300000
156,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,,480000
157,Flood,Meteorological - Hydrological,Natural,Disaster,,6000
